ID, World, Time (Seconds), Distance (Meters)
0,granny,2101.812910795212,468.83659385955343
1,granny,2116.311875104904,438.33381641483794
2,granny,2114.7059218883514,462.45799945183103
3,granny,2173.8425381183624,457.0485034079744
4,granny,2091.152876853943,366.32669011732094
5,granny,2132.8937604427338,470.3602558853706
6,granny,2188.7558047771454,451.5912340962991
7,granny,2193.627075433731,488.85067289789225
8,granny,2293.37020277977,484.14119224931494
9,granny,2311.2808408737183,423.9689638323373
